,genre
1153, deep orchestral
1154, deep melodic hard rock
1155, string folk
1156, dark ambient
1157, mallet
1158, deep disco
1159, power violence
1160, contemporary composition
1161, fast melodic punk
1162, finnish hardcore
1163, martial industrial
1164, classic russian pop
1165, hindustani classical
1166, enka
1167, russian alternative
1168, minimal melodic techno
1169, beach music
1170, japanese jazztronica
1171, neo metal
1172, rebetiko
1173, future ambient
1174, tzadik
1175, kwaito
1176, liturgical
1177, abstract idm
1178, ostrock
1179, gospel reggae
1180, faroese pop
1181, musica per bambini
1182, melodic progressive metal
1183, monastic
1184, scratch
1185, ambient psychill
1186, string band
1187, french punk
1188, panpipe
1189, afrikaans
1190, japanoise
1191, power electronics
1192, byzantine
1193, russian folk
1194, gamecore
1195, rap metalcore
1196, traditional soul
1197, coupe decale
1198, musique pour enfants
1199, consort
1200, bass trip
1201, porro
1202, norwegian jazz
1203, italian progressive rock
1204, galego
1205, hard house
1206, bossa nova jazz
1207, spanish classical
1208, classic schlager
1209, nz indie
1210, slam death metal
1211, bemani
1212, manele
1213, deep opera
1214, deep progressive trance
1215, deep liquid bass
1216, magyar
1217, german ccm
1218, deep ambient
1219, polyphony
1220, deep soft rock
1221, iskelma
1222, bay area hip hop
1223, wind ensemble
1224, shanty
1225, military band
1226, romanian rock
1227, luk thung
1228, greek indie
1229, funeral doom
1230, flick hop
1231, chaotic black metal
1232, deep folk metal
1233, armenian folk
1234, skinhead reggae
1235, tekno
1236, italian folk
1237, screamocore
1238, marching band
1239, indie fuzzpop
1240, persian traditional
1241, neo-pagan
1242, dark psytrance
1243, african percussion
1244, go-go
1245, spoken word
1246, breton folk
1247, vapor house
1248, depressive black metal
1249, minimal dubstep
1250, jig and reel
1251, deep canadian indie
1252, experimental psych
1253, deep sunset lounge
1254, indie shoegaze
1255, vintage chanson
1256, harp
1257, swedish pop punk
1258, indorock
1259, punta
1260, kuduro
1261, thrash-groove metal
1262, doujin
1263, cornetas y tambores
1264, accordion
1265, pipe band
1266, ghettotech
1267, corsican folk
1268, speedcore
1269, outer hip hop
1270, jazz orchestra
1271, danish jazz
1272, trash rock
1273, indie pop rock
1274, jug band
1275, remix
1276, benga
1277, neo-industrial rock
1278, west african jazz
1279, nepali
1280, hebrew pop
1281, bulgarian rock
1282, geek folk
1283, deep darkpsy
1284, deep happy hardcore
1285, blues-rock guitar
1286, klezmer
1287, triangle indie
1288, black sludge
1289, deep german indie
1290, barbershop
1291, greek hip hop
1292, brass ensemble
1293, j-core
1294, dark minimal techno
1295, screamo punk
1296, cumbia funk
1297, greek house
1298, zim
1299, technical brutal death metal
1300, ambient fusion
1301, deep jazz guitar
1302, italian punk
1303, british dance band
1304, hard glam
1305, chinese traditional
1306, commons
1307, dallas indie
1308, light music
1309, deep deep house
1310, northern irish indie
1311, sinhala
1312, j-reggae
1313, gospel blues
1314, power noise
1315, abstractro
1316, throat singing
1317, street punk
1318, capoeira
1319, post-disco soul
1320, drama
1321, deep vocal house
1322, deep vocal jazz
1323, vintage jazz
1324, deep melodic death metal
1325, deep indie singer-songwriter
1326, mantra
1327, british brass band
1328, contemporary folk
1329, chinese indie rock
1330, finnish jazz
1331, deep psytrance
1332, soda pop
1333, unblack metal
1334, traditional funk
1335, fussball
1336, deep ragga
1337, deep new wave
1338, covertrance
1339, deep full on
1340, deep southern soul
1341, steelpan
1342, cajun
1343, stl indie
1344, japanese traditional
1345, poetry
1346, dubsteppe
1347, carnatic
1348, makina
1349, deep indie pop
1350, classic eurovision
1351, noise punk
1352, slash punk
1353, spanish indie rock
1354, c
1355, college marching band
1356, muziek voor kinderen
1357, grisly death metal
1358, gothic post-punk
1359, musique concrete
1360, chamber choir
1361, oratory
1362, hardcore breaks
1363, deep east coast hip hop
1364, deep funk house
